variant,protocol,split_seed,gate_mode,gate_type,fusion_mode,target_budget,budget_metric,lambda_budget,modality_dropout_prob,epochs,mode,runs,oa_mean,oa_std,aa_mean,aa_std,kappa_mean,kappa_std,train_accuracy_mean,train_accuracy_std,train_seconds_mean,train_seconds_std,soft_retention_mean,soft_retention_std,hard_retention_mean,hard_retention_std,q_main_mean,q_main_std,q_aux_mean,q_aux_std,fusion_weight_main_mean,fusion_weight_main_std,fusion_weight_aux_mean,fusion_weight_aux_std,source_oa_mean,source_oa_std,source_aa_mean,source_aa_std,source_kappa_mean,source_kappa_std,source_latency_ms_mean,source_latency_ms_std,compact_params_ratio_mean,compact_params_ratio_std,compact_macs_ratio_mean,compact_macs_ratio_std,compact_latency_ms_mean,compact_latency_ms_std
full,official,42,deterministic,hard_concrete,reliability,0.8,macs,1.0,0.25,20,aux_noise,2,0.8408625071738952,0.002898691404388554,0.8683427054354287,0.0023564185059006945,0.8277374052847914,0.0030512912995041904,0.9191839937230286,0.0,31.650202999822795,0.9055885450205521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8543904238747233,0.012986137491660823,0.880468771326115,0.009616576020985038,0.8423017387931815,0.014026509227558477,0.0,0.0,0.8330791293136921,0.01922180776855192,0.8001235733426368,0.0012112683173955334,0.0,0.0
full,official,42,deterministic,hard_concrete,reliability,0.8,macs,1.0,0.25,20,aux_only,2,0.4295318520947774,0.014145614053416198,0.4398992087043305,0.02874057155338647,0.3862175613024216,0.018355787419613478,0.9191839937230286,0.0,31.650202999822795,0.9055885450205521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4081741411822579,0.034262532399872904,0.43600934494736043,0.022554222049353097,0.36596859166484275,0.03754477744555363,0.0,0.0,0.8330791293136921,0.01922180776855192,0.8001235733426368,0.0012112683173955334,0.0,0.0
full,official,42,deterministic,hard_concrete,reliability,0.8,macs,1.0,0.25,20,full,2,0.8700910059850784,0.0063191472615670855,0.8923862006516379,0.0035605838377559865,0.8594209249659603,0.00678494964289986,0.9191839937230286,0.0,31.650202999822795,0.9055885450205521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8637779781913586,0.0031885605448273777,0.8874761789977488,0.0028790830892058993,0.8524846372809654,0.0035791704535215883,0.0,0.0,0.8330791293136921,0.01922180776855192,0.8001235733426368,0.0012112683173955334,0.0,0.0
full,official,42,deterministic,hard_concrete,reliability,0.8,macs,1.0,0.25,20,main_only,2,0.7583832089858162,0.019015415612789004,0.7974219754383418,0.020920463456644115,0.7388748551908608,0.020593400503976168,0.9191839937230286,0.0,31.650202999822795,0.9055885450205521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7576863163072887,0.0036523511695296064,0.7941500014961916,0.012757176022370576,0.7378356092359144,0.00449111350267464,0.0,0.0,0.8330791293136921,0.01922180776855192,0.8001235733426368,0.0012112683173955334,0.0,0.0
without_modality_dropout,official,42,deterministic,hard_concrete,reliability,0.8,macs,1.0,0.0,20,aux_noise,2,0.8613183569730262,0.008058362104200264,0.8872706458643217,0.007051651401418154,0.8498653216812919,0.008649793157892074,0.9882306786975285,0.0033288667611764,38.19958730018698,15.007155471775334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8785357055013527,0.014203587881503945,0.8996643081094775,0.012200229854578883,0.8685117893097273,0.015347964095552474,0.0,0.0,0.8071095608598746,0.01344252370935189,0.7979136671646045,0.0025941685705194195,0.0,0.0
without_modality_dropout,official,42,deterministic,hard_concrete,reliability,0.8,macs,1.0,0.0,20,aux_only,2,0.3226613101582356,0.019305284753227868,0.2893597347376088,0.010652399346560289,0.2665444298918278,0.01390676307435141,0.9882306786975285,0.0033288667611764,38.19958730018698,15.007155471775334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33873083545134053,0.028465149591095758,0.32585116628193916,0.0353489556183289,0.2871222734775484,0.029877992839911476,0.0,0.0,0.8071095608598746,0.01344252370935189,0.7979136671646045,0.0025941685705194195,0.0,0.0
without_modality_dropout,official,42,deterministic,hard_concrete,reliability,0.8,macs,1.0,0.0,20,full,2,0.8674264163318849,0.00834823124463901,0.8911700063041885,0.007716376122540028,0.8565095280133888,0.008984352177358544,0.9882306786975285,0.0033288667611764,38.19958730018698,15.007155471775334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8866934492088219,0.01136287030520322,0.9052624292228337,0.009126113185145194,0.8773668499946612,0.012288484582719295,0.0,0.0,0.8071095608598746,0.01344252370935189,0.7979136671646045,0.0025941685705194195,0.0,0.0
without_modality_dropout,official,42,deterministic,hard_concrete,reliability,0.8,macs,1.0,0.0,20,main_only,2,0.6333934574075593,0.037161223804261456,0.6882134724758513,0.05118757447540292,0.6039554974774679,0.04183057227006065,0.9882306786975285,0.0033288667611764,38.19958730018698,15.007155471775334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6354021480691974,0.009971498431096692,0.710850874475484,0.0041747010923401185,0.6076027259670332,0.010469662324512907,0.0,0.0,0.8071095608598746,0.01344252370935189,0.7979136671646045,0.0025941685705194195,0.0,0.0
without_reliability_uniform_fusion,official,42,deterministic,hard_concrete,uniform,0.8,macs,1.0,0.25,20,aux_downsample_2,3,0.8574239567106666,0.005815326925081687,0.8779284528922737,0.0016298095617827814,0.8457991905817565,0.0061019970940629515,0.9193147639597228,0.0054123714101150504,35.519125033169985,10.203634089343657,0.0,0.0,0.0,0.0,0.49007951954285456,0.03727056912692423,0.5146754325455907,0.04455726110007933,0.5,0.0,0.5,0.0,0.852340739526113,0.010504947233404033,0.8754754685232725,0.00874732205292523,0.8402931931804497,0.011351706543152745,0.0,0.0,0.8268252098881431,0.017688410212372753,0.8005507891113229,0.0009217054786032015,0.0,0.0
without_reliability_uniform_fusion,official,42,deterministic,hard_concrete,uniform,0.8,macs,1.0,0.25,20,aux_downsample_4,3,0.7834713454128064,0.02050651571412123,0.8172578627630434,0.013361768284507735,0.7660003942803741,0.02199851899549228,0.9193147639597228,0.0054123714101150504,35.519125033169985,10.203634089343657,0.0,0.0,0.0,0.0,0.49007951954285456,0.03727056912692423,0.5127517083026364,0.04361833450585799,0.5,0.0,0.5,0.0,0.7777322292366975,0.026874980955780208,0.8159283391939026,0.021233336401679084,0.7597423035954259,0.02892713574156332,0.0,0.0,0.8268252098881431,0.017688410212372753,0.8005507891113229,0.0009217054786032015,0.0,0.0
